Spacy_entity,Spacy_tag,clean_entities,Wiki_entity,Wiki_tag
Leviathan,'LOC',leviathan,Leviathan,
Ciaphas Cain,'PERSON',ciaphas cain,Ciaphas Cain,
Kryptman,'PERSON',kryptman,Kryptman,
Tyranid,'NORP',tyranid,Tyranid,
Hive Fleet Leviathan,'ORG',hive fleet leviathan,Hive Fleet Leviathan,
Terran,'NORP',terran,Terran,
Baal,'PERSON',baal,Baal,
Orkoid,'NORP',orkoid,Orkoid,
Space Marines,'NORP',space marines,Space Marines,
Aliens,'ORG',aliens,aliens,
Broodlord,'PERSON',broodlord,Broodlord,
Indomitus Crusade,'ORG',indomitus crusade,Indomitus Crusade,
the  ,'LOC',the,The,
Warp,'LOC',warp,Warp,
The Parasite of Mortrex,'PERSON',the parasite of mortrex,The Parasite of Mortrex,
Terra,'LOC',terra,Terra,
Nusquam Fundumentibus,'PERSON',nusquam fundumentibus,Nusquam Fundumentibus,
Navigators,'NORP',navigators,Navigators,
Tyranids,'NORP',tyranids,Tyranids,
Immaterium,'LOC',immaterium,Immaterium,
Hive Tyrant,'PERSON',hive tyrant,Hive Tyrant,
Narvhal,'ORG',narvhal,Narvhal,
Catachan,'NORP',catachan,Catachan,
Primaris Marine  ,'ORG',primaris marine,Primaris Marine,
Imperial,'NORP',imperial,Imperial,
Genestealers,'NORP',genestealers,Genestealers,
Tyrant Guard,'ORG',tyrant guard,Tyrant Guard,
Daemon,'PERSON',daemon,Daemon,
Baal Prime,'LOC',baal prime,Baal Prime,
Ymgarl Genestealer,'PERSON',ymgarl genestealer,Ymgarl Genestealer,
Pyrovore,'PERSON',pyrovore,Pyrovore,
Imperium,'ORG',imperium,Imperium,
Warhammer,'ORG',warhammer,Warhammer,
Zoat,'NORP',zoat,Zoat,
Holy Terra,'LOC',holy terra,Holy Terra,
Hive Fleet,'ORG',hive fleet,hive fleet,
Genestealer,'NORP',genestealer,Genestealer,
Bronislaw Czevak,'PERSON',bronislaw czevak,Bronislaw Czevak,
Ripper,'PERSON',ripper,Ripper,
the Imperium of Man,'ORG',the imperium of man,The Imperium of Man,
Tyran Primus,'PERSON',tyran primus,Tyran Primus,
Orks,'NORP',orks,Orks,
Blood Angels,'ORG',blood angels,Blood Angels,
Imperial Guard,'ORG',imperial guard,Imperial Guard,
Space Marine,'ORG',space marine,Space Marine,
Hive Guard,'PERSON',hive guard,Hive Guard,
Trygon,'PERSON',trygon,Trygon,
Chaos,'PERSON',chaos,Chaos,
Humanity,'ORG',humanity,Humanity,
Aeldari,'NORP',aeldari,Aeldari,
Titans,'NORP',titans,Titans,
Speed Freeks,'PERSON',speed freeks,Speed Freeks,
Madboyz,'ORG',madboyz,Madboyz,
Imperial Army,'ORG',imperial army,Imperial Army,
Feral Ork,'NORP',feral ork,Feral Ork,
Exodite,'NORP',exodite,Exodite,
Snagrod,'PERSON',snagrod,Snagrod,
Ghazghkull,'LOC',ghazghkull,Ghazghkull,
Kommando,'PERSON',kommando,Kommando,
Painboy,'ORG',painboy,Painboy,
Freebooter,'NORP',freebooter,Freebooter,
Grot,'PERSON',grot,Grot,
Humans,'NORP',humans,Humans,
Painboyz,'PERSON',painboyz,Painboyz,
Krork,'NORP',krork,Krork,
Choppa,'PERSON',choppa,Choppa,
Flash Gitz,'PERSON',flash gitz,Flash Gitz,
Wildboyz,'PERSON',wildboyz,Wildboyz,
Marneus Calgar,'PERSON',marneus calgar,Marneus Calgar,
Hruk,'PERSON',hruk,Hruk,
Boyz,'NORP',boyz,Boyz,
Goffs  ,'ORG',goffs,Goffs,
Bigskorcha,'PERSON',bigskorcha,Bigskorcha,
Wazdakka,'PERSON',wazdakka,Wazdakka,
Ordo Xenos   ,'PERSON',ordo xenos,Ordo Xenos,
Grots,'NORP',grots,Grots,
Wildboy,'NORP',wildboy,Wildboy,
Flyboyz,'ORG',flyboyz,Flyboyz,
Luna Wolves,'NORP',luna wolves,Luna Wolves,
Snakebites,'PERSON',snakebites,Snakebites,
Snotlings,'PERSON',snotlings,Snotlings,
Nobz,'PERSON',nobz,Nobz,
Goff  ,'ORG',goff,Goff,
Games Workshop,'ORG',games workshop,Games Workshop,
Bork,'PERSON',bork,Bork,
Warboss,'PERSON',warboss,Warboss,
Greenskins,'LOC',greenskins,Greenskins,
Trusk,'PERSON',trusk,Trusk,
Lukas Anzion,'PERSON',lukas anzion,Lukas Anzion,
Iron Knights,'ORG',iron knights,Iron Knights,
Ghazghkull Mag Uruk Thraka,'PERSON',ghazghkull mag uruk thraka,Ghazghkull Mag Uruk Thraka,
Gargant,'PERSON',gargant,Gargant,
Grizgutz,'PERSON',grizgutz,Grizgutz,
Sebastian Yarrick,'PERSON',sebastian yarrick,Sebastian Yarrick,
Slugga,'PERSON',slugga,Slugga,
Dakkajet,'ORG',dakkajet,Dakkajet,
Dok,'ORG',dok,Dok,
Runtherdz,'PERSON',runtherdz,Runtherdz,
Nazdreg Ug Urdgrub,'PERSON',nazdreg ug urdgrub,Nazdreg Ug Urdgrub,
Orkimedes,'PERSON',orkimedes,Orkimedes,
Big Gunz,'ORG',big gunz,Big Gunz,
Hruk Teefsplinta,'PERSON',hruk teefsplinta,Hruk Teefsplinta,
Dakbad Firegut,'PERSON',dakbad firegut,Dakbad Firegut,
Mek,'PERSON',mek,Mek,
Meganobz,'PERSON',meganobz,Meganobz,
Freebooterz,'ORG',freebooterz,Freebooterz,
Fortress Worlds,'ORG',fortress worlds,Fortress Worlds,
Snotling,'NORP',snotling,Snotling,
Inquisitorial  Storm Troopers,'ORG',inquisitorial storm troopers,Inquisitorial Storm Troopers,
Mork,'PERSON',mork,Mork,
Grog Ironteef,'PERSON',grog ironteef,Grog Ironteef,
Gorbag,'PERSON',gorbag,Gorbag,
Gretchin,'PERSON',gretchin,Gretchin,
Trukk,'ORG',trukk,Trukk,
Oddboy,'NORP',oddboy,Oddboy,
Mekboyz,'NORP',mekboyz,Mekboyz,
Gorro,'LOC',gorro,Gorro,
Evil Sunz,'PERSON',evil sunz,Evil Sunz,
Daemons,'NORP',daemons,Daemons,
Octaria,'NORP',octaria,Octaria,
WAAAGH,'PERSON',waaagh,WAAAGH,
Ezekyle Abaddon,'PERSON',ezekyle abaddon,Ezekyle Abaddon,
Gorkanauts,'NORP',gorkanauts,Gorkanauts,
Death Skulls,'ORG',death skulls,Death Skulls,
Tankbusta,'PERSON',tankbusta,Tankbusta,
Blaktoof,'PERSON',blaktoof,Blaktoof,
Zagstruk,'PERSON',zagstruk,Zagstruk,
Gorkanaut,'NORP',gorkanaut, Gorkanaut,
