ratio,Spacy_entity,Spacy_tag,Spacy_clean_entities,Wiki_entity,Wiki_tag,Wiki_clean_entities
88,a  Psychic,'PERSON',a psychic,psychic,,psychic
86,Norn Queens,'NORP',norn queens,Norn-Queen,,norn-queen
94,Ka Bandha,'PERSON',ka bandha,KaBandha,,kabandha
84,Ka Bandha s,'PERSON',ka bandha s,KaBandha,,kabandha
82,Ka bandah,'PERSON',ka bandah,KaBandha,,kabandha
82,Ka Bahnda,'PERSON',ka bahnda,KaBandha,,kabandha
82,Ka Bhanda,'PERSON',ka bhanda,KaBandha,,kabandha
90,The Shadow in the Warp,'PERSON',the shadow in the warp,Shadow in the Warp,,shadow in the warp
84,Shadows in the Stars,'PERSON',shadows in the stars,Shadow in the Warp,,shadow in the warp
90,Warp Drive,'LOC',warp drive,Warp-Drive,,warp-drive
84,the Mycetic Spore,'LOC',the mycetic spore,Mycetic Spores,,mycetic spores
90,a Mycetic Spore,'LOC',a mycetic spore,Mycetic Spores,,mycetic spores
84,Bio Titans,'NORP',bio titans,Bio-Titan,,bio-titan
86,Terion,'ORG',terion,Tervigon,,tervigon
84,Tyranid Warrior s,'PERSON',tyranid warrior s,Tyranid Warrior Prime,,tyranid warrior prime
82,Tyranid Warrior s.,'PERSON',tyranid warrior s.,Tyranid Warrior Prime,,tyranid warrior prime
86,The Doom of Malan tai,'PERSON',the doom of malan tai,Doom of MalanTai,,doom of malantai
83,ipers,'PERSON',ipers,Rippers,,rippers
82,Hive Acheron,'LOC',hive acheron,Hive Crone,,hive crone
83,the Red Terror,'ORG',the red terror,Red Terror,,red terror
81,Tyranid   Hive,'PERSON',tyranid  hive,Tyranid Shrike,,tyranid shrike
83,Salient,'LOC',salient,alien,,alien
91,the Maccabian Janissaries,'ORG',the maccabian janissaries,Maccabian Janissaries,,maccabian janissaries
84,Maccabian Janissary Regiments,'ORG',maccabian janissary regiments,Maccabian Janissaries,,maccabian janissaries
82,the 61st  Maccabian Janissaries,'ORG',the 61st maccabian janissaries,Maccabian Janissaries,,maccabian janissaries
89,C tan,'ORG',c tan,Ctan,,ctan
89,C’tan,'PERSON',c’tan,Ctan,,ctan
86,Tan,'LOC',tan,Ctan,,ctan
89,The Wars for Armageddon,'PERSON',the wars for armageddon,Third War for Armageddon,,third war for armageddon
88,the  Time of Rebirth,'ORG',the time of rebirth,Time of Rebirth,,time of rebirth
87,The Great WAAAGH!,'ORG',the great waaagh!,Great WAAAGH!,,great waaagh!
87,the  Blood God s Domain,'LOC',the blood god s domain,Blood Gods Domain,,blood gods domain
97,Blood God s Domain,'ORG',blood god s domain,Blood Gods Domain,,blood gods domain
88,the  Realm of Chaos,'LOC',the realm of chaos,Realm of Chaos,,realm of chaos
97,Realm of Chaos:,'ORG',realm of chaos:,Realm of Chaos,,realm of chaos
83,Breath of Chaos,'PERSON',breath of chaos,Realm of Chaos,,realm of chaos
88,Biel Tan,'PERSON',biel tan,Biel-Tan,,biel-tan
82,Biel Tani,'NORP',biel tani,Biel-Tan,,biel-tan
82,Biel Tann,'PERSON',biel tann,Biel-Tan,,biel-tan
93,Ke lshan,'PERSON',ke lshan,Kelshan,,kelshan
82,Ke lshan s,'PERSON',ke lshan s,Kelshan,,kelshan
81,the  T au Lexicon,'LOC',the t au lexicon,Tau Lexicon,,tau lexicon
89,Kill Team,'ORG',kill team,Kill-team,,kill-team
84,Kill Teams,'ORG',kill teams,Kill-team,,kill-team
83,The Wars for Armageddon,'PERSON',the wars for armageddon,Second War for Armageddon,,second war for armageddon
89,Saim Hann,'PERSON',saim hann,Saim-Hann,,saim-hann
86,Fighta Bommer z,'PERSON',fighta bommer z,Fighta-Bommer,,fighta-bommer
90,The Vindicare Assassin,'PERSON',the vindicare assassin,Vindicare Assassin,,vindicare assassin
96,Rynn s World,'LOC',rynn s world,Rynns World,,rynns world
88,Erwynn s World,'LOC',erwynn s world,Rynns World,,rynns world
96,Rynn`s World,'LOC',rynn`s world,Rynns World,,rynns world
82,Orn s World,'LOC',orn s world,Rynns World,,rynns world
88,Rynn s World s,'LOC',rynn s world s,Rynns World,,rynns world
94,Fortress Monastery,'ORG',fortress monastery,fortress-monastery,,fortress-monastery
