ratio,Spacy_entity,Spacy_tag,Spacy_clean_entities,Wiki_entity,Wiki_tag,Wiki_clean_entities
88,a  Psychic,'PERSON',a psychic,psychic,,psychic
86,Norn Queens,'NORP',norn queens,Norn-Queen,,norn-queen
94,Ka Bandha,'PERSON',ka bandha,KaBandha,,kabandha
90,The Shadow in the Warp,'PERSON',the shadow in the warp,Shadow in the Warp,,shadow in the warp
90,Warp Drive,'LOC',warp drive,Warp-Drive,,warp-drive
84,the Mycetic Spore,'LOC',the mycetic spore,Mycetic Spores,,mycetic spores
84,Bio Titans,'NORP',bio titans,Bio-Titan,,bio-titan
86,Terion,'ORG',terion,Tervigon,,tervigon
84,Tyranid Warrior s,'PERSON',tyranid warrior s,Tyranid Warrior Prime,,tyranid warrior prime
86,The Doom of Malan tai,'PERSON',the doom of malan tai,Doom of MalanTai,,doom of malantai
83,ipers,'PERSON',ipers,Rippers,,rippers
82,Hive Acheron,'LOC',hive acheron,Hive Crone,,hive crone
83,the Red Terror,'ORG',the red terror,Red Terror,,red terror
81,Tyranid   Hive,'PERSON',tyranid  hive,Tyranid Shrike,,tyranid shrike
83,Salient,'LOC',salient,alien,,alien
91,the Maccabian Janissaries,'ORG',the maccabian janissaries,Maccabian Janissaries,,maccabian janissaries
89,C tan,'ORG',c tan,Ctan,,ctan
89,The Wars for Armageddon,'PERSON',the wars for armageddon,Third War for Armageddon,,third war for armageddon
88,the  Time of Rebirth,'ORG',the time of rebirth,Time of Rebirth,,time of rebirth
87,The Great WAAAGH!,'ORG',the great waaagh!,Great WAAAGH!,,great waaagh!
87,the  Blood God s Domain,'LOC',the blood god s domain,Blood Gods Domain,,blood gods domain
88,the  Realm of Chaos,'LOC',the realm of chaos,Realm of Chaos,,realm of chaos
88,Biel Tan,'PERSON',biel tan,Biel-Tan,,biel-tan
93,Ke lshan,'PERSON',ke lshan,Kelshan,,kelshan
81,the  T au Lexicon,'LOC',the t au lexicon,Tau Lexicon,,tau lexicon
89,Kill Team,'ORG',kill team,Kill-team,,kill-team
83,The Wars for Armageddon,'PERSON',the wars for armageddon,Second War for Armageddon,,second war for armageddon
89,Saim Hann,'PERSON',saim hann,Saim-Hann,,saim-hann
86,Fighta Bommer z,'PERSON',fighta bommer z,Fighta-Bommer,,fighta-bommer
90,The Vindicare Assassin,'PERSON',the vindicare assassin,Vindicare Assassin,,vindicare assassin
96,Rynn s World,'LOC',rynn s world,Rynns World,,rynns world
94,Fortress Monastery,'ORG',fortress monastery,fortress-monastery,,fortress-monastery
86,Burna Boy z.,'PERSON',burna boy z.,Burna Boy,,burna boy
88,Warbikerz,'ORG',warbikerz,Warbike,,warbike
86,Black Horns,'PERSON',black horns,Black Orcs,,black orcs
93,Deffguns,'PERSON',deffguns,Deffgun,,deffgun
81,Space Marine Chapters,'ORG',space marine chapters,Space Marine Chapter Homeworlds,,space marine chapter homeworlds
84,Boilerboyz,'PERSON',boilerboyz,Bikerboyz,,bikerboyz
94,Wartrakks,'PERSON',wartrakks,Wartrakk,,wartrakk
83,Blitza Bommer z.,'PERSON',blitza bommer z.,Blitza-Bommer,,blitza-bommer
82,Big Gun z.,'ORG',big gun z.,Big Gun,,big gun
86,Escort s,'ORG',escort s,escort,,escort
86,The Emperor s Spears,'PERSON',the emperor s spears,Emperors Spears,,emperors spears
94,the  Lord Commander of the Imperium,'PERSON',the lord commander of the imperium,lord commander of the Imperium,,lord commander of the imperium
83,Imperial Eagle,'ORG',imperial eagle,Imperial Regent,,imperial regent
89,Gene Seed,'PERSON',gene seed,gene-seed,,gene-seed
87,the  Emperor s Children,'ORG',the emperor s children,Emperors Children,,emperors children
95,Captain Space Marine,'ORG',captain space marine,Captain (Space Marine),,captain (space marine)
81,rk X Gravis Power Armour,'PERSON',rk x gravis power armour,Mark X Tacticus Power Armour,,mark x tacticus power armour
96,rk X Gravis Power Armour,'PERSON',rk x gravis power armour,Mark X Gravis Power Armour,,mark x gravis power armour
83,the Tactical Marine,'PERSON',the tactical marine,Legion Tactical Marine,,legion tactical marine
88,the  Old One Hundred,'ORG',the old one hundred,Old One Hundred,,old one hundred
81,Legion  Chapter,'ORG',legion chapter,Legion Master,,legion master
